"","U_SARS_ANG","SARS_COV2","ACE2","Ang","AGTR1","U_ADAM17_SIL6Ra","ADAM17","Toci","Sil6r","U_EGF_EGFR","EGF","U_TNF_EGFR","TNF","U_IL6STAT_EGFR","Gefi","EGFR","U_PRR_NFKB","PRR","NFKB","IL6STAT3","IL6AMP","cytok"
"1",20.8941088476576,31.7813082107974,55.5083197442017,23.2156408295672,58.6519223470023,25.0722092625767,91.0996288901721,58.093887427897,43.9131629946101,48.3495117273208,97.0234372844315,44.9170260664706,99.3866430182484,47.8063109740922,43.1443427871401,1,36.6322495797276,71.3534826491123,31.5653221621081,9.49013349715082,25.4692127423297,40.6239082666927
"2",39.9043261591452,53.6357247483554,33.17279153116,73.8875098085229,97.5710237489687,36.5786143935126,97.5164762991181,41.3295642677242,75.6453305862101,40.3038920892313,95.3506178207699,33.6142714224981,98.1603523682454,49.9150553156715,32.7075733033083,1,47.7291668662096,89.1175873557407,29.3088441015842,24.3122155021973,32.7446771314719,50.3872095199198
"3",31.3330612970209,43.7654510286114,43.3399354718419,51.228614781465,92.6479363902989,52.5862460700877,98.7640888367522,27.9918432158447,92.4802625003582,46.1654796325392,97.0913400498745,41.5022346812669,99.2146302583371,58.1622749548744,40.727970744134,1,28.8677230314847,79.2400683466072,36.5590298279283,30.3852226932185,41.2202518056802,63.5232683896158
"4",44.6117791010118,60.0054477391814,28.3045899655604,83.0526507166601,98.8240939400477,47.8887034037697,98.6413993798475,27.5948340552321,90.6965170782385,54.9491778481053,97.7844793849957,36.5340146516718,98.9191126957458,74.6505373952264,39.0401807051043,1,31.2328602914658,89.6506146516442,37.6537932823386,14.7896997121877,30.7663669104575,48.0538967182988
"5",39.4046173236281,54.7128477270372,33.9036978582248,74.2752440686333,99.3038066002262,27.9734430895775,98.8227231176343,61.3064420657986,50.744724839502,25.6090489443383,93.8383687318528,46.1277050862432,100.19651415567,48.6505296905927,49.6732355134739,1,53.9646351314724,92.2632347271854,29.4815086794348,12.3589038026665,26.9778030092546,43.4800528581988
"6",41.6438598406515,57.4300172949831,31.4841026255777,78.8895737286476,99.6143722659086,37.8073619776945,99.3195377088903,61.7698772137068,62.6478096017196,55.0709062542418,98.8436783084149,20.0079504619102,99.1679379568956,63.6497762666326,49.2163899980441,1,42.8793788538653,91.547403926493,33.8152889543427,9.72979496533099,27.0844052915266,43.5912185752406
"7",54.4731254685673,70.556998965558,20.0222697035817,92.2067800538654,98.6986856953431,28.6006513534121,97.3351759712861,58.9316545576313,51.297224840908,31.6204023997237,93.7683051303863,45.960540443922,98.6837580826846,18.5239822168749,34.7834791612817,1,44.7170433899037,94.3350104550471,32.067553706,37.338008449358,43.5372630857819,66.067847740943
"8",29.2161590172945,40.9780981208286,45.9050240474394,44.5552217802236,88.1171594610646,43.9393469517219,98.015197675349,45.7505146525,79.7131186579645,21.1174735723413,91.032221916976,48.1837619014447,99.1282262793809,27.2233459428653,38.7752298786611,1,41.3654304096484,80.7775202920429,31.063277050676,55.0371008980644,56.6353575650151,81.1069360420887
"9",50.6831680275865,68.4087158342479,23.3442215745663,91.1588208950166,100.532957040805,36.3115848125159,99.7094497025245,53.7919745077539,68.8677179350977,45.2104055147227,98.3081812753112,40.2002863146017,100.467655136657,18.5760808392252,53.3700173618166,0,49.2729121127082,96.1209707794849,31.422454091593,56.4607226965507,59.3112030043877,84.8429695881531
"10",54.3466932297645,72.4114983069301,20.7994737309945,93.8480100521684,100.716291060188,48.8871572231873,100.281713732551,43.727839501837,86.821448378756,46.4848414669252,98.6247154315432,18.6544872407129,99.6662818076329,43.7933878255896,54.6162695906657,1,26.4928174310753,94.9553970965699,42.9405285865351,43.1069285952208,55.2515146423523,81.4183936868513
